x:image,y:label
.\3\262.png,2
.\3\314.png,2
.\2\205.png,1
.\5\395.png,4
.\5\409.png,4
.\1\284.png,0
.\5\92.png,4
.\3\185.png,2
.\5\200.png,4
.\3\397.png,2
.\4\31.png,3
.\4\71.png,3
.\1\283.png,0
.\3\495.png,2
.\1\488.png,0
.\4\212.png,3
.\5\57.png,4
.\1\508.png,0
.\2\208.png,1
.\5\19.png,4
.\3\350.png,2
.\5\125.png,4
.\4\412.png,3
.\3\548.png,2
.\1\469.png,0
.\1\462.png,0
.\5\330.png,4
.\2\374.png,1
.\1\477.png,0
.\2\370.png,1
.\5\158.png,4
.\5\468.png,4
.\2\475.png,1
.\1\156.png,0
.\2\62.png,1
.\3\108.png,2
.\1\204.png,0
.\3\277.png,2
.\2\421.png,1
.\3\425.png,2
.\1\453.png,0
.\4\332.png,3
.\5\202.png,4
.\5\405.png,4
.\5\359.png,4
.\2\184.png,1
.\2\455.png,1
.\4\183.png,3
.\1\448.png,0
.\5\256.png,4
.\2\129.png,1
.\4\406.png,3
.\5\498.png,4
.\4\327.png,3
.\1\266.png,0
.\4\519.png,3
.\3\205.png,2
.\3\453.png,2
.\3\291.png,2
.\5\136.png,4
.\2\336.png,1
.\4\308.png,3
.\2\320.png,1
.\1\16.png,0
.\1\174.png,0
.\1\379.png,0
.\5\148.png,4
.\4\341.png,3
.\4\466.png,3
.\1\512.png,0
.\2\383.png,1
.\2\362.png,1
.\1\323.png,0
.\1\19.png,0
.\1\421.png,0
.\5\212.png,4
.\3\161.png,2
.\4\337.png,3
.\4\130.png,3
.\2\516.png,1
.\2\201.png,1
.\5\113.png,4
.\2\395.png,1
.\2\380.png,1
.\1\276.png,0
.\5\102.png,4
.\5\485.png,4
.\4\189.png,3
.\5\120.png,4
.\1\554.png,0
.\1\457.png,0
.\1\182.png,0
.\1\149.png,0
.\4\400.png,3
.\2\372.png,1
.\3\287.png,2
.\4\313.png,3
.\1\252.png,0
.\1\144.png,0
.\2\45.png,1
.\5\469.png,4
.\4\334.png,3
.\2\20.png,1
.\5\244.png,4
.\2\160.png,1
.\4\63.png,3
.\2\539.png,1
.\3\391.png,2
.\4\97.png,3
.\4\394.png,3
.\3\355.png,2
.\1\342.png,0
.\5\114.png,4
.\2\148.png,1
.\4\227.png,3
.\5\290.png,4
.\1\408.png,0
.\1\447.png,0
.\4\187.png,3
.\2\181.png,1
.\1\281.png,0
.\5\130.png,4
.\2\398.png,1
.\5\233.png,4
.\1\310.png,0
.\2\586.png,1
.\5\446.png,4
.\3\416.png,2
.\5\209.png,4
.\3\121.png,2
.\1\565.png,0
.\5\165.png,4
.\2\117.png,1
.\3\436.png,2
.\3\457.png,2
.\1\307.png,0
.\1\158.png,0
.\2\289.png,1
.\3\95.png,2
.\1\201.png,0
.\2\273.png,1
.\2\377.png,1
.\1\169.png,0
.\3\306.png,2
.\4\429.png,3
.\1\486.png,0
.\4\415.png,3
.\4\460.png,3
.\2\382.png,1
.\4\526.png,3
.\2\227.png,1
.\3\422.png,2
.\1\317.png,0
.\1\387.png,0
.\3\267.png,2
.\3\140.png,2
.\5\168.png,4
.\5\94.png,4
.\2\263.png,1
.\2\524.png,1
.\3\334.png,2
.\5\467.png,4
.\4\293.png,3
.\4\153.png,3
.\3\1.png,2
.\4\155.png,3
.\2\305.png,1
.\3\10.png,2
.\4\398.png,3
.\1\536.png,0
.\5\225.png,4
.\4\489.png,3
.\2\59.png,1
.\2\192.png,1
.\2\26.png,1
.\1\264.png,0
.\1\327.png,0
.\5\459.png,4
.\3\527.png,2
.\3\104.png,2
.\2\556.png,1
.\3\226.png,2
.\3\387.png,2
.\2\69.png,1
.\1\188.png,0
.\3\216.png,2
.\5\85.png,4
.\4\133.png,3
.\1\377.png,0
.\4\539.png,3
.\2\212.png,1
.\2\128.png,1
.\1\392.png,0
.\3\408.png,2
.\1\36.png,0
.\2\111.png,1
.\3\455.png,2
.\5\491.png,4
.\2\599.png,1
.\2\346.png,1
.\1\123.png,0
.\2\219.png,1
.\2\486.png,1
.\1\568.png,0
.\2\608.png,1
.\2\224.png,1
.\3\31.png,2
.\3\444.png,2
.\2\367.png,1
.\5\406.png,4
.\4\118.png,3
.\2\418.png,1
.\4\286.png,3
.\5\353.png,4
.\5\380.png,4
.\2\409.png,1
.\2\307.png,1
.\2\477.png,1
.\5\495.png,4
.\3\271.png,2
.\1\175.png,0
.\5\483.png,4
.\4\417.png,3
.\3\182.png,2
.\3\292.png,2
.\1\35.png,0
.\2\368.png,1
.\3\47.png,2
.\4\537.png,3
.\3\255.png,2
.\3\362.png,2
.\3\299.png,2
.\4\296.png,3
.\1\186.png,0
.\2\179.png,1
.\2\387.png,1
.\1\178.png,0
.\4\141.png,3
.\5\336.png,4
.\3\379.png,2
.\2\220.png,1
.\5\496.png,4
.\2\258.png,1
.\1\298.png,0
.\5\333.png,4
.\2\240.png,1
.\3\376.png,2
.\5\46.png,4
.\2\133.png,1
.\3\448.png,2
.\1\187.png,0
.\1\157.png,0
.\2\118.png,1
.\2\167.png,1
.\3\117.png,2
.\4\11.png,3
.\3\413.png,2
.\1\510.png,0
.\1\333.png,0
.\5\426.png,4
.\1\487.png,0
.\3\225.png,2
.\1\30.png,0
.\1\404.png,0
.\5\462.png,4
.\1\550.png,0
.\2\567.png,1
.\1\70.png,0
.\3\529.png,2
.\3\83.png,2
.\4\463.png,3
.\4\309.png,3
.\3\496.png,2
.\4\505.png,3
.\4\167.png,3
.\4\388.png,3
.\1\166.png,0
.\5\438.png,4
.\3\147.png,2
.\5\372.png,4
.\3\221.png,2
.\5\33.png,4
.\2\131.png,1
.\3\278.png,2
.\3\520.png,2
.\3\434.png,2
.\4\37.png,3
.\5\210.png,4
.\3\330.png,2
.\2\102.png,1
.\1\483.png,0
.\5\276.png,4
.\5\219.png,4
.\1\139.png,0
.\4\439.png,3
.\4\459.png,3
.\5\314.png,4
.\2\164.png,1
.\2\526.png,1
.\4\100.png,3
.\1\418.png,0
.\1\217.png,0
.\5\23.png,4
.\3\55.png,2
.\2\605.png,1
.\2\345.png,1
.\3\515.png,2
.\2\246.png,1
.\4\464.png,3
.\3\498.png,2
.\3\447.png,2
.\3\144.png,2
.\4\14.png,3
.\1\545.png,0
.\2\202.png,1
.\2\460.png,1
.\2\319.png,1
.\5\470.png,4
.\5\91.png,4
.\5\430.png,4
.\1\572.png,0
.\4\376.png,3
.\5\73.png,4
.\5\306.png,4
.\2\292.png,1
.\1\436.png,0
.\3\49.png,2
.\5\282.png,4
.\1\534.png,0
.\5\235.png,4
.\2\469.png,1
.\3\323.png,2
.\2\392.png,1
.\4\181.png,3
.\1\425.png,0
.\1\268.png,0
.\1\409.png,0
.\4\256.png,3
.\3\412.png,2
.\3\427.png,2
.\2\560.png,1
.\2\598.png,1
.\3\204.png,2
.\3\152.png,2
.\4\47.png,3
.\1\414.png,0
.\2\566.png,1
.\2\10.png,1
.\4\127.png,3
.\1\59.png,0
.\2\341.png,1
.\5\414.png,4
.\1\461.png,0
.\4\219.png,3
.\3\332.png,2
.\1\329.png,0
.\1\456.png,0
.\5\327.png,4
.\2\193.png,1
.\2\262.png,1
.\4\280.png,3
.\3\478.png,2
.\5\76.png,4
.\5\476.png,4
.\2\359.png,1
.\1\531.png,0
.\2\64.png,1
.\5\441.png,4
.\3\36.png,2
.\4\226.png,3
.\1\382.png,0
.\3\533.png,2
.\2\394.png,1
.\2\410.png,1
.\3\260.png,2
.\2\253.png,1
.\3\188.png,2
.\2\243.png,1
.\1\109.png,0
.\3\143.png,2
.\4\458.png,3
.\4\8.png,3
.\5\178.png,4
.\5\311.png,4
.\3\528.png,2
.\1\203.png,0
.\3\222.png,2
.\3\58.png,2
.\2\7.png,1
.\2\225.png,1
.\3\41.png,2
.\2\66.png,1
.\1\300.png,0
.\1\225.png,0
.\5\345.png,4
.\3\339.png,2
.\4\452.png,3
.\5\488.png,4
.\3\153.png,2
.\1\403.png,0
.\2\361.png,1
.\5\284.png,4
.\4\363.png,3
.\4\259.png,3
.\1\125.png,0
.\4\478.png,3
.\1\295.png,0
.\5\105.png,4
.\3\384.png,2
.\3\263.png,2
.\2\236.png,1
.\1\256.png,0
.\2\549.png,1
.\1\48.png,0
